userid,Average Screen Time,Average Spent on App (INR),Left Review,Ratings,New Password Request,Last Visited Minutes,Status,Segments
1001,17,634,1,9,7,2990,Installed,Retained
1002,0,54,0,4,8,24008,Uninstalled,Needs Attention
1003,37,207,0,8,5,971,Installed,Retained
1004,32,445,1,6,2,799,Installed,Retained
1005,45,427,1,5,6,3668,Installed,Retained
1006,28,599,0,9,4,2878,Installed,Retained
1007,49,887,1,9,6,4481,Installed,Retained
1008,8,31,0,2,1,1715,Installed,Retained
1009,28,741,1,8,2,801,Installed,Retained
1010,28,524,1,8,4,4621,Installed,Retained
1011,44,688,1,8,5,1293,Installed,Retained
1012,24,466,1,10,4,4214,Installed,Retained
1013,1,49,0,3,7,9008,Installed,Retained
1014,41,845,0,10,7,3107,Installed,Retained
1015,32,251,0,5,4,2595,Installed,Retained
1016,11,169,0,10,3,577,Installed,Retained
1017,38,776,1,7,4,2965,Installed,Retained
1018,34,341,0,6,1,3124,Installed,Retained
1019,21,250,0,7,5,3460,Installed,Retained
1020,18,967,1,10,6,1925,Installed,Retained
1021,15,774,1,7,1,631,Installed,Retained
1022,34,482,0,6,8,4057,Installed,Retained
1023,11,645,1,9,2,2946,Installed,Retained
1024,26,688,0,9,4,4702,Installed,Retained
1025,34,400,0,8,4,4189,Installed,Retained
1026,48,73,1,10,2,2894,Installed,Retained
1027,33,460,0,9,2,1049,Installed,Retained
1028,49,848,0,5,4,419,Installed,Retained
1029,9,46,0,0,2,3273,Installed,Retained
1030,47,195,1,9,4,4060,Installed,Retained
1031,34,114,0,9,6,1148,Installed,Retained
1032,30,976,1,6,8,4784,Installed,Retained
1033,35,932,1,9,4,2808,Installed,Retained
1034,12,243,1,5,5,2920,Installed,Retained
1035,12,222,0,7,6,4096,Installed,Retained
1036,22,410,1,5,7,767,Installed,Retained
1037,3,70,0,5,3,3650,Installed,Retained
1038,0,96,0,4,6,4107,Installed,Retained
1039,1,97,0,1,7,37959,Uninstalled,Churn
1040,40,207,1,7,5,2425,Installed,Retained
1041,41,519,0,7,2,3511,Installed,Retained
1042,21,621,1,5,7,3471,Installed,Retained
1043,12,461,0,10,2,2571,Installed,Retained
1044,4,93,0,2,8,49334,Uninstalled,Churn
1045,17,800,0,10,5,520,Installed,Retained
1046,43,125,1,8,5,1553,Installed,Retained
1047,3,34,1,5,6,39016,Uninstalled,Churn
1048,50,405,0,8,4,4478,Installed,Retained
1049,19,654,0,6,5,1197,Installed,Retained
1050,44,908,1,10,3,3489,Installed,Retained
1051,25,875,1,9,8,644,Installed,Retained
1052,37,519,0,5,6,3408,Installed,Retained
1053,15,260,1,5,1,1353,Installed,Retained
1054,42,911,1,9,1,1356,Installed,Retained
1055,42,214,0,10,3,3575,Installed,Retained
1056,15,771,1,10,1,3339,Installed,Retained
1057,45,726,0,5,1,2587,Installed,Retained
1058,25,110,0,9,4,4704,Installed,Retained
1059,34,196,0,6,4,3410,Installed,Retained
1060,37,157,1,10,7,4131,Installed,Retained
1061,32,912,0,10,5,873,Installed,Retained
1062,5,67,0,2,6,30435,Uninstalled,Churn
1063,49,889,0,10,5,4991,Installed,Retained
1064,20,512,1,7,8,3847,Installed,Retained
1065,5,26,1,3,6,40868,Uninstalled,Churn
1066,49,202,0,6,2,1759,Installed,Retained
1067,32,234,1,9,2,2126,Installed,Retained
1068,37,966,1,7,2,794,Installed,Retained
1069,0,48,1,4,10,26405,Uninstalled,Needs Attention
1070,8,98,1,3,7,2483,Installed,Retained
1071,49,723,0,9,3,1847,Installed,Retained
1072,43,738,0,5,6,4962,Installed,Retained
1073,39,528,0,6,2,4237,Installed,Retained
1074,35,881,1,10,8,1290,Installed,Retained
1075,9,90,0,0,2,453,Installed,Retained
1076,50,360,1,7,2,479,Installed,Retained
1077,40,811,1,10,8,4574,Installed,Retained
1078,46,398,0,7,2,4302,Installed,Retained
1079,41,384,1,7,6,4513,Installed,Retained
1080,11,974,0,10,4,4076,Installed,Retained
1081,22,222,0,10,6,4913,Installed,Retained
1082,18,990,1,6,7,3660,Installed,Retained
1083,39,266,0,9,4,550,Installed,Retained
1084,32,919,1,8,7,1477,Installed,Retained
1085,44,976,0,9,5,1710,Installed,Retained
1086,12,436,0,5,3,1070,Installed,Retained
1087,1,94,1,5,5,42101,Uninstalled,Churn
1088,46,320,0,9,4,1757,Installed,Retained
1089,6,17,1,4,4,893,Installed,Retained
1090,48,552,1,5,4,2273,Installed,Retained
1091,6,61,0,4,1,3506,Installed,Retained
1092,18,242,0,7,7,517,Installed,Retained
1093,15,543,0,10,6,4258,Installed,Retained
1094,1,8,1,0,15,33465,Uninstalled,Churn
1095,23,448,0,6,6,3292,Installed,Retained
1096,24,252,1,8,1,353,Installed,Retained
1097,0,66,1,0,2,4370,Installed,Retained
1098,10,42,1,2,8,3800,Installed,Retained
1099,45,940,0,5,4,2961,Installed,Retained
1100,3,75,1,4,12,41859,Uninstalled,Churn
1101,48,528,0,7,3,2836,Installed,Retained
1102,1,52,1,5,6,6836,Installed,Retained
1103,47,830,0,5,3,4354,Installed,Retained
1104,21,559,0,10,7,670,Installed,Retained
1105,9,74,1,3,2,2449,Installed,Retained
1106,17,804,1,9,2,1806,Installed,Retained
1107,25,733,0,9,2,4806,Installed,Retained
1108,45,663,1,5,7,1481,Installed,Retained
1109,30,763,1,9,2,3872,Installed,Retained
1110,0,23,0,1,15,22915,Uninstalled,Needs Attention
1111,11,67,0,5,4,1829,Installed,Retained
1112,15,115,0,5,1,2148,Installed,Retained
1113,14,853,0,8,2,2754,Installed,Retained
1114,17,379,0,7,8,727,Installed,Retained
1115,5,20,1,5,5,13331,Installed,Needs Attention
1116,26,629,1,5,2,3982,Installed,Retained
1117,12,508,0,6,1,3589,Installed,Retained
1118,14,462,0,8,7,229,Installed,Retained
1119,4,93,0,0,1,4598,Installed,Retained
1120,41,204,0,5,4,3545,Installed,Retained
1121,31,293,1,7,2,2905,Installed,Retained
1122,9,31,1,3,3,1096,Installed,Retained
1123,3,44,1,0,13,28046,Uninstalled,Needs Attention
1124,19,354,1,7,6,3008,Installed,Retained
